price_eur;boat_type;year_built;condition;length_m;displacement_kg;certified_number_of_people;number_of_cabins;number_of_beds;fuel_capacity_l;engine_hours_h;number_of_views_last_7_days
75000;Sport Boat;2018;as new;7,84;2000;7;1;2;280;40;256
77000;Flybridge;2007;very good;9,95;5660;10;2;6;650;930;93
77500;Cabin Boat;2011;very good;8,5;4200;8;2;4;520;395;261
78000;Flybridge;1996;very good;11,68;10300;10;2;6;1000;1900;184
78800;Classic;1958;as new;11,2;4500;14;1;1;160;900;322
79000;Cabin Boat;2012;very good;9,1;5500;8;2;3;260;380;268
79000;Flybridge;1999;well-groomed;13,68;13000;10;2;8;1200;900;341
79500;Motor Yacht;2004;very good;10,2;6800;8;2;4;550;500;340
79900;Motor Yacht;1978;very good;13,5;18000;12;2;4;1500;4000;189
79900;Pilothouse;2012;as new;8,6;3700;9;1;2;400;550;221
79900;Pilothouse;2011;good;7,85;3100;6;1;2;300;734;181
795000;Motor Yacht;2017;as new;17,6;15000;6;1;5;3000;600;181
8500;Deck Boat;1998;to be done up;7,9;2850;4;1;3;230;385;738
8500;Cabin Boat;1997;well-groomed;6,7;2000;6;1;2;245;400;498
80000;Hardtop;2007;very good;10,2;5700;8;2;4;550;220;148
80900;Pilothouse;2019;as new;7,4;2600;9;2;4;300;4;244
825000;Cabin Boat;2008;very good;15,75;28000;12;3;6;2800;600;139
83000;Cabin Boat;2014;well-groomed;9;4000;4;2;2;450;140;184
839000;Hardtop;2008;very good;21,69;42000;12;4;7;4500;992;243
849000;Flybridge;2018;very good;16,11;17000;10;3;7;1300;300;112
85000;Flybridge;2011;very good;9,98;5130;10;2;6;335;370;134
85000;Flybridge;1990;very good;13,68;10980;12;2;4;800;1204;155
85000;Flybridge;1997;very good;11,4;12000;12;2;6;1000;1330;397
87500;Motor Yacht;2008;as new;14,8;22000;8;2;5;1100;1350;315
88000;Cabin Boat;1973;very good;10,35;5000;10;3;7;400;380;335
880000;Motor Yacht;2011;very good;14,95;41000;10;3;6;4500;318;207
89000;Sport Boat;2016;very good;8,8;3478;10;1;4;400;220;121
89000;Sport Boat;2004;very good;8,45;2800;8;1;1;375;575;332
89900;Cabin Boat;2015;very good;9,02;5000;10;3;6;400;229;114
890000;Motor Yacht;2013;very good;19,39;29500;16;3;6;3400;352;111
90000;Cabin Boat;2017;as new;9,07;6500;12;1;4;590;110;298
90000;Motor Yacht;2014;as new;11;100;6;1;1;700;100;111
92000;Cabin Boat;2010;very good;7,35;1550;8;1;3;75;350;281
94000;Motor Yacht;2003;very good;11,95;7000;10;1;4;781;750;128
949000;Hardtop;2014;very good;19,35;27200;10;4;7;3200;470;133
95000;Sport Boat;2011;very good;8,25;2200;8;1;1;200;380;801
96500;Runabout;2016;very good;7,8;1800;7;1;1;175;100;290
98000;Motor Yacht;2016;very good;8,5;3800;6;2;4;520;277;317
98000;Offshore Boat;1998;very good;9,5;4000;9;1;4;1100;45;146
99000;Cabin Boat;2010;good;10,4;8300;8;2;4;530;605;184
99000;Sport Boat;2017;used;8,15;2900;8;1;2;246;86;392
